;Method;Time_Window;Driver;Impostors;Method_Parameters;PORC_FAR;Min_Time_Detection(s);Average_Time_Detection(s);Max_Time_Detection(s);Standard_deviation(s);%_FRR;Min_Time_Detection(s);Average_Time_Detection(s);Max_Time_Detection(s);Standard_deviation(s);Number_clusters
0;EE;5;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.96;12;9530.777778;46826;15118.00589;0.06;179;845.5;1512;942.5733393;1
0;EE;5;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.86;5;2451.371429;18368;4508.91742;0.06;179;845.5;1512;942.5733393;3
0;EE;5;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.8;5;1864.891304;13192;2822.442104;0.18;226;424.25;600;158.4768648;5
0;EE;5;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.52;5;721.3613445;5814;1172.605571;0.48;37;190.2222222;386;116.712015;10
0;EE;5;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};92.95;5;67.52828685;2019;206.6989442;1.07;6;96.55555556;220;69.77208461;30
0;EE;10;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.95;33;12228.14286;46717;16423.07844;0;1689;1689;1689;;1
0;EE;10;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.76;10;2854.733333;23351;5204.843281;0.06;582;848.5;1115;376.8879144;3
0;EE;10;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.77;10;2380.722222;16051;3671.697487;0.06;582;848.5;1115;376.8879144;5
0;EE;10;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.16;10;759.9292035;9145;1459.998096;0.3;11;288.1666667;864;330.3255465;10
0;EE;10;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};93.76;10;104.9796651;2271;266.4991415;1.13;13;92.05;259;67.31033783;30
0;EE;30;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.96;31;16978;58503;24315.82225;0.24;180;361;695;212.2745863;1
0;EE;30;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.2;30;943.8571429;5769;1208.265346;0.18;210;444.25;847;285.4229318;3
0;EE;30;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};96.35;30;506.6842105;4374;845.3980091;0.54;58;194.5;524;143.4629259;5
0;EE;30;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};94.92;30;334.9619772;2522;620.7942574;0.78;51;156;618;146.7548977;10
0;EE;30;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};48.77;30;49.671;798;54.00358277;29.99;30;32.30965909;45;2.696017512;30
0;EE;3;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.96;4;4898.823529;23445;6927.60832;0.09;459;735;1244;441.3309416;1
0;EE;3;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.67;3;612.3014706;5220;988.9398238;0.14;211;551.5;1269;492.5454294;3
0;EE;3;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.21;3;259.9968454;7233;776.8610016;0.09;305;735;1441;616.2434584;5
0;EE;3;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};97.56;3;164.492;3743;473.8648518;0.09;392;735;1050;329.8924067;10
0;EE;3;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};88.66;3;54.43963068;1823;188.7703012;0.73;4;130.5294118;269;97.61219035;30
0;EE;5;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.94;6;6933.25;43652;12449.6451;0.09;179;736.3333333;1745;875.1373226;1
0;EE;5;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.77;5;1321.619048;7446;1664.361724;0.14;41;553;1745;799.2746712;3
0;EE;5;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.58;5;840.8686869;5592;1381.039003;0.23;41;369.6666667;744;259.2802859;5
0;EE;5;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};97.02;5;129.5381026;4680;386.4657373;0.18;39;443;985;341.0725729;10
0;EE;5;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};90.49;5;61.69118774;1799;194.1988509;0.77;9;125.2222222;532;134.9063098;30
0;EE;10;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.98;136;20754.5;56337;26336.61652;0.05;371;1106;1841;1039.446968;1
0;EE;10;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.67;10;1847.311111;12911;2848.956171;0.05;371;1106;1841;1039.446968;3
0;EE;10;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.46;10;1124.540541;7228;1593.917653;0.05;809;1106;1403;420.021428;5
0;EE;10;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.67;10;544.2352941;4613;894.5025431;0.23;32;374;1403;526.400228;10
0;EE;10;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};92.54;10;142.34375;3310;375.4728264;2.92;10;43.37096774;139;31.50604099;30
0;EE;30;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.95;31;8244.7;55814;18419.59306;0.09;330;754.6666667;1477;628.7736742;1
0;EE;30;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.88;30;1279.476923;9421;1813.225321;0.14;232;573;1315;499.2213938;3
0;EE;30;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.52;30;830.8217822;7172;1304.154396;0.28;33;339.4285714;728;260.3240654;5
