;Method;Time_Window;Driver;Impostors;Method_Parameters;PORC_FAR;Min_Time_Detection_s;Average_Time_Detection_s;Max_Time_Detection_s;Standard_deviation_s;PORC_FRR;Min_Time_Detection_s;Average_Time_Detection_s;Max_Time_Detection_s;Standard_deviation_s;Number_clusters
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};56.06;3;11.79866924;275;18.55134076;13.11;3;9.866197183;40;6.581620058;10
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};49.67;3;7.200977241;213;10.72363064;18.79;3;7.233082707;26;4.253678074;30
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};47.51;3;7.638390905;206;11.22832118;16.3;3;8.166189112;40;5.646777392;30
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};45.47;3;8.071159206;151;11.73333809;14.97;3;8.788819876;40;6.174422104;30
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};50.98;3;9.613240418;256;15.71911209;13.03;3;9.737024221;55;6.978641483;30
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};59.98;5;14.56048474;1921;44.07784423;22.24;5;8.457589286;28;3.879964654;1
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};60.12;5;17.99341917;2477;68.77421902;16.86;5;9.914127424;33;5.130610195;1
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};67.6;5;23.30501931;2481;78.66670273;14.33;5;11.02875399;43;6.259029686;1
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};66.13;5;26.00327198;2477;88.84997187;13.32;5;11.49494949;38;6.758438775;1
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};44.38;5;12.81445313;1480;30.70265838;16.55;5;10.12285714;33;5.379499754;3
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};39.86;5;14.32346387;2155;44.90235464;14.45;5;10.93059937;39;6.019607515;3
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};38.43;5;17.41398541;1263;45.56875437;14.52;5;10.90251572;39;5.88104424;3
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};46.85;5;19.71752577;2503;64.54511274;13.32;5;11.46979866;53;7.214423494;3
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};58.78;5;13.58448587;454;20.71521702;16.24;5;10.27113703;36;5.808288154;5
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};53.79;5;13.35578362;322;20.52928793;13.28;5;11.44816054;47;6.98511036;5
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};57.29;5;14.60741921;321;22.50796858;13.47;5;11.48148148;50;6.809707932;5
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};63.69;5;17.47542263;633;29.50014078;12.03;5;12.24452555;88;8.750220675;5
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};46;5;10.79745686;338;13.49100128;19.63;5;9.198992443;33;4.584580986;10
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};47.07;5;11.51766784;633;18.28447409;16.2;5;10.07909605;34;5.592838731;10
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};46.3;5;12.72527218;1008;25.46177864;16.04;5;10.34117647;34;5.914938722;10
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};52.05;5;15.28598081;2376;44.4330203;12.19;5;12.38289963;49;7.795320386;10
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};47.27;5;9.312474099;130;10.08905622;20.87;5;8.849642005;28;4.340619167;30
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};51.63;5;10.8421567;212;14.07018233;16.63;5;10.08238636;32;5.340969639;30
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};50.82;5;11.4516943;341;15.4664163;15.93;5;10.44477612;42;5.830111891;30
0;IF;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};54.48;5;12.99431818;398;20.44773762;12.58;5;11.93286219;45;7.308725084;30
0;IF;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};72.68;10;26.55654762;1682;67.28435226;16.74;10;15.11174785;46;5.24476801;1
0;IF;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};67.68;10;29.10578331;2105;87.61806792;12.22;10;17.29889299;43;6.847218864;1
0;IF;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};66.8;10;30.11370717;2705;94.28438113;11.9;10;17.54924242;71;8.258964446;1
0;IF;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};67.08;10;37.47698745;2733;130.4676349;10.38;10;18.9826087;77;10.09819268;1
0;IF;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};41.97;10;21.22174381;635;33.85751447;13.66;10;16.32450331;50;6.26284691;3
0;IF;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};44.29;10;24.34799317;1469;56.67894619;13.78;10;16.31456954;50;6.478975939;3
0;IF;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};45.25;10;26.29957607;2383;75.39346826;12.53;10;16.97508897;71;7.19742653;3
0;IF;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};50.3;10;30.63698993;2515;100.3893648;11.05;10;18.15261044;71;8.062808084;3
0;IF;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};55.03;10;16.91371368;471;19.53156444;11.75;10;17.28205128;45;7.1484475;5
0;IF;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};51.48;10;18.62390603;1266;31.12372423;11.51;10;17.52255639;47;7.660820356;5
0;IF;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};52;10;20.89487035;2517;51.8413081;11.87;10;17.24087591;61;7.783259529;5
0;IF;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};56.24;10;24.95421181;2662;66.37178871;10.77;10;18.21774194;65;8.626351196;5
0;IF;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};58.02;10;17.75534486;521;21.54128951;16.74;10;14.85989011;38;5.023321477;10
0;IF;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};56.25;10;18.80708915;1153;27.05110145;14.83;10;15.77639752;48;6.149715851;10
0;IF;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};56.45;10;20.79685891;1157;31.46736215;13.39;10;16.37209302;47;7.116723399;10
0;IF;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};60.98;10;24.74204835;1162;42.94955495;11.24;10;17.77992278;79;9.113082767;10
